satellites_used,processed_at,timestamp_iso,timestamp,lon,sog,cog,id,lat,ele,quality,datetime,distance_m,time_diff_s,speed_kmh
9.0,2025-05-23T16:52:35.396398,2025-04-22T12:46:33,1745325993.0,2.776574,45.61,10.44,vehicle_01,41.86493,47.88,1.0,2025-04-22 12:46:33,163.10417849373655,7.0,83.88214893963594
9.0,2025-05-23T16:52:35.401825,2025-04-22T12:46:41,1745326001.0,2.777014,45.56,10.91,vehicle_01,41.86659,48.36,1.0,2025-04-22 12:46:41,188.1452775128118,8.0,84.66537488076531
9.0,2025-05-23T16:52:35.407140,2025-04-22T12:46:47,1745326007.0,2.777341,45.05,11.08,vehicle_01,41.86782,48.75,1.0,2025-04-22 12:46:47,139.4244037730223,6.0,83.65464226381339
9.0,2025-05-23T16:52:35.412322,2025-04-22T12:46:54,1745326014.0,2.77772,46.42,11.48,vehicle_01,41.86927,49.51,1.0,2025-04-22 12:46:54,164.2584862554405,7.0,84.4757929313694
9.0,2025-05-23T16:52:35.417436,2025-04-22T12:47:02,1745326022.0,2.778181,44.4,11.43,vehicle_01,41.87093,50.29,1.0,2025-04-22 12:47:02,188.48923606307233,8.0,84.82015622838254
9.0,2025-05-23T16:52:35.422510,2025-04-22T12:47:09,1745326029.0,2.77854,42.75,11.43,vehicle_01,41.87228,50.89,1.0,2025-04-22 12:47:09,153.02795633273817,7.0,78.70009182826536
9.0,2025-05-23T16:52:35.427715,2025-04-22T12:47:16,1745326036.0,2.778902,44.45,10.8,vehicle_01,41.87368,51.29,1.0,2025-04-22 12:47:16,158.5321386152328,7.0,81.53081414497687
9.0,2025-05-23T16:52:35.432896,2025-04-22T12:47:23,1745326043.0,2.779254,43.84,9.51,vehicle_01,41.87509,51.62,1.0,2025-04-22 12:47:23,159.47065452392258,7.0,82.0134794694459
8.0,2025-05-23T16:52:35.438591,2025-04-22T12:47:30,1745326050.0,2.779643,44.48,11.23,vehicle_01,41.87651,52.08,1.0,2025-04-22 12:47:30,161.14808731746456,7.0,82.87615919183891
8.0,2025-05-23T16:52:35.443777,2025-04-22T12:47:37,1745326057.0,2.780028,45.26,10.84,vehicle_01,41.87796,52.37,1.0,2025-04-22 12:47:37,164.35329180069667,7.0,84.52455006892971
9.0,2025-05-23T16:52:35.448964,2025-04-22T12:47:45,1745326065.0,2.780463,45.35,10.62,vehicle_01,41.87962,52.57,1.0,2025-04-22 12:47:45,188.06412849905144,8.0,84.62885782457315
9.0,2025-05-23T16:52:35.454171,2025-04-22T12:47:52,1745326072.0,2.78085,45.78,11.64,vehicle_01,41.88107,52.72,1.0,2025-04-22 12:47:52,164.38518265573168,7.0,84.54095108009058
9.0,2025-05-23T16:52:35.459195,2025-04-22T12:47:59,1745326079.0,2.781235,45.42,11.23,vehicle_01,41.88251,52.95,1.0,2025-04-22 12:47:59,163.26215446851327,7.0,83.96339372666397
9.0,2025-05-23T16:52:35.464283,2025-04-22T12:48:06,1745326086.0,2.78162,45.99,11.44,vehicle_01,41.88395,53.16,1.0,2025-04-22 12:48:06,163.26201423823895,7.0,83.96332160823717
8.0,2025-05-23T16:52:35.469454,2025-04-22T12:48:13,1745326093.0,2.782037,50.31,11.19,vehicle_01,41.88554,53.18,1.0,2025-04-22 12:48:13,180.1385430249733,7.0,92.64267926998627
8.0,2025-05-23T16:52:35.474434,2025-04-22T12:48:20,1745326100.0,2.782459,47.54,11.43,vehicle_01,41.8871,53.38,1.0,2025-04-22 12:48:20,176.94675978825657,7.0,91.00119074824623
9.0,2025-05-23T16:52:35.479556,2025-04-22T12:48:27,1745326107.0,2.782878,45.29,10.74,vehicle_01,41.88859,53.8,1.0,2025-04-22 12:48:27,169.2720541090944,7.0,87.05419925610569
7.0,2025-05-23T16:52:35.484612,2025-04-22T12:48:35,1745326115.0,2.783311,45.3,11.24,vehicle_01,41.89024,54.1,1.0,2025-04-22 12:48:35,186.9399132639282,8.0,84.12296096876769
9.0,2025-05-23T16:52:35.489769,2025-04-22T12:48:42,1745326122.0,2.7837,46.03,11.1,vehicle_01,41.89168,54.18,1.0,2025-04-22 12:48:42,163.32621515362726,7.0,83.99633922186545
9.0,2025-05-23T16:52:35.494952,2025-04-22T12:48:49,1745326129.0,2.784057,45.94,11.83,vehicle_01,41.89313,54.4,1.0,2025-04-22 12:48:49,163.91820016182146,7.0,84.30078865465104
9.0,2025-05-23T16:52:35.500127,2025-04-22T12:48:57,1745326137.0,2.78455,44.42,13.62,vehicle_01,41.89477,54.61,1.0,2025-04-22 12:48:57,186.86950335283066,8.0,84.0912765087738
9.0,2025-05-23T16:52:35.505882,2025-04-22T12:49:03,1745326143.0,2.784974,45.1,14.65,vehicle_01,41.89598,54.84,1.0,2025-04-22 12:49:03,139.04747836619086,6.0,83.42848701971451
9.0,2025-05-23T16:52:35.511118,2025-04-22T12:49:11,1745326151.0,2.785665,45.33,18.0,vehicle_01,41.89758,55.19,1.0,2025-04-22 12:49:11,186.87864772303658,8.0,84.09539147536647
9.0,2025-05-23T16:52:35.516969,2025-04-22T12:49:18,1745326158.0,2.786249,45.86,17.02,vehicle_01,41.89898,55.35,1.0,2025-04-22 12:49:18,163.00414294920574,7.0,83.83070208816295
9.0,2025-05-23T16:52:35.522185,2025-04-22T12:49:25,1745326165.0,2.786761,46.13,14.93,vehicle_01,41.90038,55.56,1.0,2025-04-22 12:49:25,161.33725359668492,7.0,82.97344470686653
9.0,2025-05-23T16:52:35.527423,2025-04-22T12:49:33,1745326173.0,2.787293,46.17,14.16,vehicle_01,41.90201,55.85,1.0,2025-04-22 12:49:33,186.5189856662939,8.0,83.93354354983225
9.0,2025-05-23T16:52:35.532667,2025-04-22T12:49:40,1745326180.0,2.787804,45.92,15.63,vehicle_01,41.9034,56.16,1.0,2025-04-22 12:49:40,160.2422172836781,7.0,82.41028317446302
9.0,2025-05-23T16:52:35.537869,2025-04-22T12:49:47,1745326187.0,2.78832,45.27,16.55,vehicle_01,41.90477,56.55,1.0,2025-04-22 12:49:47,158.20919769364426,7.0,81.36473024244562
9.0,2025-05-23T16:52:35.543020,2025-04-22T12:49:55,1745326195.0,2.7889,44.8,15.84,vehicle_01,41.90633,56.75,1.0,2025-04-22 12:49:55,179.98241432024466,8.0,80.9920864441101
9.0,2025-05-23T16:52:35.548064,2025-04-22T12:50:02,1745326202.0,2.789396,46.02,13.55,vehicle_01,41.90775,56.95,1.0,2025-04-22 12:50:02,163.1446996956829,7.0,83.90298841492263
